SampleID,Location,Date,Time,Temp,Salinity,DO,DO%,pH,Turbidity,TotalN,TotalP,Phosphate,Silicate,NNN,NH4
PLH170104,PLH,01/04/17,08:42,23.3,34.7,6.77,96.4,,8.92,135.13,18.19,13.14,400.39,10.19,2.98
PLT170104,PLT,01/04/17,09:03,23.7,34.6,6.22,89.4,,35.3,93.72,14.89,10.45,554.29,23,3.64
PPU170104,PPU,01/04/17,09:32,24.1,34.9,6.85,99.2,,2.7,87.56,10.94,4.16,136.98,2.47,1.55
OSF170104,OSF,01/04/17,09:58,24.3,35,7.46,108.5,,2.18,80.46,10,4.76,120.3,5.16,3.72
OLP170104,OLP,01/04/17,10:24,24.3,35.1,6.92,100.6,,5.01,76.98,8.58,3.25,117.3,2.59,
OPM170105,OPM,01/05/17,07:00,22.8,34.8,6.34,93.5,,4.83,100.48,9.99,5.66,208.26,20.1,
OCO170105,OCO,01/05/17,07:15,23.3,34.9,6.63,94.5,,7.99,77.67,9.54,5.63,360.48,12.58,
OMM170105,OMM,01/05/17,07:30,23.6,35.2,6.16,88.6,,5.83,75.42,9.68,5.21,273.05,9.83,2.27
OUB170105,OUB,01/05/17,07:40,22.9,35.4,6.96,98.9,,12.23,75.23,12.42,5.28,88.84,7.87,
OPB170105,OPB,01/05/17,08:00,23.7,35.4,6.79,97.8,,10.1,76.14,12.57,4.28,113.68,6.13,1.79
OPP170105,OPP,01/05/17,08:15,24.3,35.3,8.12,96.7,,8.69,72.55,14.42,5.17,103.37,9.07,1.61
RPO170124,RPO,01/24/17,07:38,23.5,,,96.4,8.14,12.07,367.08,40.74,36.7,1085.08,327.13,5.14
RKS170124,RKS,01/24/17,08:07,23.1,,7.01,97.3,8.17,6.31,87.7,20.24,19.3,662.68,9.48,6.54
RAB170124,RAB,01/24/17,08:29,24.1,,6.46,94.5,8.16,4.08,79.75,23.24,18.9,237.48,13.92,4.49
RCB170124,RCB,01/24/17,08:50,24.5,,6.57,96.3,8.18,0.8,113.22,19.74,16.74,327.23,46.28,7.68
RWA170124,RWA,01/24/17,09:07,24.5,,6.69,97.3,8.2,1.15,117.23,34.7,30.64,953.96,56.58,4.25
PFF170125,PFF,01/25/17,08:22,23.8,35.2,6.16,88.5,7.85,6.31,80.46,17.65,15.38,206.96,6.16,6.27
PLH170125,PLH,01/25/17,08:50,23.85,34.8,6.22,89.5,7.94666666666667,3.53,84.69,15.8,14.91,195.95,5.22,6.01
PLT170125,PLT,01/25/17,09:16,24.3,34.9,6.47,93.7,7.96,1.7,76.35,15.03,12.77,181.82,4.76,7.59
PPU170125,PPU,01/25/17,09:45,24.8,34.9,6.79,99.1,8.05666666666667,1.92,77.98,12.72,8.61,118.55,1.01,4.72
OLP170125,OLP,01/25/17,10:07,24.6,35.0666666666667,6.79,98.9,8.03666666666667,2.06,363.96,32.04,17.99,123.12,2.63,31.67
OSF170125,OSF,01/25/17,10:30,24.7,35.2,6.46,94.3,7.89,1.21,77.5,15.25,8.71,94.53,4.94,6.54
OPM170126,OPM,01/26/17,07:20,22.5,35,6.16,86.5,7.8725,3.6,87.41,14.86,8.54,146.89,6.87,4.85
OCO170126,OCO,01/26/17,07:50,22.6,35.1,6.56,92.3,8.02,2.44,76.55,10.03,6.31,264.47,6.34,6.8
OMM170126,OMM,01/26/17,08:12,22.6,35,6.27,88.2,8.05,2.85,73.14,15.07,7.64,201.91,7.83,7.38
OUB170126,OUB,01/26/17,08:35,23.5,35.3,6.85,98,8.06,6.62,79.41,15.49,6.83,110.39,8.47,5.32
OPB170126,OPB,01/26/17,08:55,23.2,35.4,6.97,99.3,8.07,4.54,75.92,19.2,6.36,74.87,7.03,4.68
OPP170126,OPP,01/26/17,09:10,23.5,35.2,7.02,100.3,8.08,3.88,72.52,15.62,5.5,84.73,2.24,5.64
RNS170214,RNS,02/14/17,07:52,24.2,34.9,6.8,98.7,8.15,0.84,80.51,11.1,6.75,205.37,12.88,6.65
RPO170214,RPO,02/14/17,08:25,24,34.5,6.71,97,8.14,3.81,103.87,14.35,10,316.93,36.3,6.51
RKS170214,RKS,02/14/17,08:45,24.1,34.7,6.76,98,8.13,6.6,78.01,11.84,7.75,178.1,5.37,6.19
RAB170214,RAB,02/14/17,09:13,24.5,34.6,6.81,99.1,8.19,5.25,95.15,14.98,10.48,381.69,23.45,6.22
RCB170214,RCB,02/14/17,09:38,24.7,34.3,6.76,98.6,8.19,1.47,136.07,16.87,10.08,457.43,71,6.74
RWA170214,RWA,02/14/17,10:00,24.7,33.9,6.78,98.7,8.2,1.04,95.6,15.08,10.84,490.89,29.92,5.61
PFF170215,PFF,02/15/17,08:33,24.9,33.8,6.38,93.1,8.1,4.18,80.69,13.7,11.52,486.27,5.23,7.38
PLH170215,PLH,02/15/17,08:45,24.9,34.1,6.2,90.5,8.07,10.7,94.63,13.86,10.03,386.33,26.13,7.81
PLT170215,PLT,02/15/17,09:03,24.9,34.4,5.93,86.7,8.07,8.65,107.67,13.21,8.5,321.19,26.27,7.93
PPU170215,PPU,02/15/17,09:30,25.1,34.9,6.86,100.8,8.19,3.12,101.2,10.97,5.45,130.64,2.72,6.83
OLP170215,OLP,02/15/17,09:47,25.2,34.9,6.79,100,8.13,5.91,93.72,11.03,6.24,174.42,6,6.51
OSF170215,OSF,02/15/17,10:11,25.1,34.9,6.59,96.8,8.1,4.16,,,,,,
OPM170217,OPM,02/17/17,07:12,24.8,35.1,5.9,86.3,8.02,2.94,78.99,10.76,5.87,115.55,6.22,5.64
OCO170217,OCO,02/17/17,07:40,25.6,35.1,6.18,91.6,8.08,2.63,99.69,11.06,5.98,161.36,7.09,8.75
OMM170217,OMM,02/17/17,08:00,25.6,35.1,5.63,83.3,8.05,2.14,88.27,10.18,5.93,168.59,9.16,8.67
OUB170217,OUB,02/17/17,08:25,25.3,35.2,6.46,95.3,8.11,2.77,95.54,9.67,5.16,65.93,4.3,8.73
OPB170217,OPB,02/17/17,08:50,25.6,35.3,6.83,101.5,8.13,14.17,74.08,9.2,6.11,91.12,8.47,7.29
OPP170217,OPP,02/17/17,09:14,25.5,35.1,6.73,99.6,8.15,3.7,76.73,9.13,6.25,127.75,10.41,8.03
OSF170217,OSF,02/17/17,09:30,,,,,,,83.21,11.44,6.52,150.71,5.57,7.22
RNS170307,RNS,03/07/17,07:40,24.2,34.5,6.75,97.9,8.16,1.8,224.47,15.19,9.21,171.59,16.23,15.98
RPO170307,RPO,03/07/17,08:03,24.2,32.8,6.81,97.7,8.14,9.51,277.55,19.5,17.47,1038.69,231.41,7.05
RKS170307,RKS,03/07/17,08:25,24.3,34.6,6.82,99.1,8.15,8.4,71.1,9.51,6.58,102.52,5.4,5.96
RAB170307,RAB,03/07/17,08:45,24.5,34.2,6.7,97.5,8.15,7.2,74.76,13.16,10.3,263.05,11.25,6.23
RCB170307,RCB,03/07/17,09:04,24.9,33.7,6.69,97.6,8.17,3.84,122.36,10.73,8.64,398.69,63.58,7.36
RWA170307,RWA,03/07/17,09:25,24.9,32.9,6.79,98.6,8.19,2.11,99.98,18.3,14.53,742.36,37.2,5.24
PFF170308,PFF,03/08/17,08:30,24.5,34,6.33,91.8,8.1,1.81,96.43,10.88,9.02,396.1,2.53,7.35
PLH170308,PLH,03/08/17,08:59,24.6,33.9,6.13,88.8,8.1,6.53,76.94,10.36,8.9,290.11,13.06,6.65
PLT170308,PLT,03/08/17,09:24,24.6,34.2,6.42,93.4,8.11,3.03,71.71,9.87,7.07,175.61,6.94,7.32
PPU170308,PPU,03/08/17,09:54,25.2,34.5,6.93,102.1,8.2,2.18,79.27,9.09,4.78,101.65,2.55,6.55
OLP170308,OLP,03/08/17,10:24,25.7,34.5,7.07,104.9,8.21,1.68,70.08,6.69,3.79,74.47,2.15,6.08
OSF170308,OSF,03/08/17,11:00,26,34.5,7.35,109.4,8.13,1.67,80.98,7.28,5.5,100.44,6.17,8.93
OPM170309,OPM,03/09/17,07:30,24.5,34.3,5.97,86.5,8.05,2.23,72.61,8.51,5.12,133.01,8.53,5.43
OCO170309,OCO,03/09/17,07:50,25.4,34.5,6.26,92.1,8.09,4.6,89.82,10.3,6.08,153.49,8.37,7.69
OMM170309,OMM,03/09/17,08:05,25.4,34.4,5.83,85.8,8.06,2.38,69.96,7.9,5.19,189.55,8.49,7.27
OUB170309,OUB,03/09/17,08:15,24.7,34.5,6.76,98.6,8.11,15.43,75.57,10.2,5.87,99.46,11.69,5.92
OPB170309,OPB,03/09/17,08:30,25.2,34.9,6.91,101.2,8.15,9.09,65.5,8.75,4.74,59.62,5.76,6.13
OPP170309,OPP,03/09/17,08:45,25.4,34.5,6.78,100.5,8.14,6.89,65.09,6.8,4.9,64.4,6.27,5.77
RNA170328,RNA,03/28/17,07:41,24.4,,,,,,,,,,,
RNS170328,RNS,03/28/17,07:41,24.4,34.4,6.75,97.6,8.11,0.84,109.54,14.07,8.81,326.9,26.32,9
RPO170328,RPO,03/28/17,08:06,24.4,33.4,6.62,95.1,8.12,3.32666666666667,159.83,21.04,12.74,669.95,94.09,7.49
RKS170328,RKS,03/28/17,08:28,24.6,34.4,6.62,96.3,8.11,5.23666666666667,87.28,12.22,7.59,154.02,9.23,7.96
RAB170328,RAB,03/28/17,08:43,25.4,34,6.71,98.4,8.18,1.88,86.99,14.49,8.87,303.09,19.08,6.92
RCB170328,RCB,03/28/17,09:02,25.6,33.3,6.76,99.1,8.18,2.17333333333333,143.94,16.31,9.49,591.67,81.12,7.49
RWA170328,RWA,03/28/17,09:21,25.4,32.9,6.77,98.8,8.19,0.633333333333333,102.96,19.47,14.15,768.9,37.51,6.85
PFF170329,PFF,03/29/17,08:21,25.4,33.1,6.23,90.8,8.07,11.3333333333333,73.7,21.64,14.61,701.31,6.16,10.74
PLH170329,PLH,03/29/17,08:50,26,33.4,5.72,84.5,8.06,6.16,82.42,13.31,8.35,321.29,12.09,11.43
PLT170329,PLT,03/29/17,09:10,26.3,33.1,5.93,87.9,8.07,7.53,123.15,20.92,9.56,497.53,47.97,20.31
PPU170329,PPU,03/29/17,09:36,26.2,33.9,6.78,100.8,8.18,2.50333333333333,80.2,13.09,5.51,150.16,2.14,16.26
OLP170329,OLP,03/29/17,10:10,27.3,34.3,6.7,101.8,8.16,3.99,77.78,9.64,4.22,67.99,2.19,13.34
OSF170329,OSF,03/29/17,10:36,26.8,34,6.95,104.5,8.13,2.17666666666667,77.95,12.43,6.28,147.2,5.68,14.6
OPM170330,OPM,03/30/17,07:20,25,34,6,87.7,8.02,5.60333333333333,72.36,10.68,5.4,165.19,5.52,6.67
OCO170330,OCO,03/30/17,07:42,26,34.5,6.41,95.3,8.08,7.74,62.05,8.5,4.77,179.25,3.86,8.65
OMM170330,OMM,03/30/17,08:05,25.9,34.2,6.27,92.9,8.03,6.34333333333333,64.89,7.35,5.64,256.49,6.94,5.75
OUB170330,OUB,03/30/17,08:30,25.7,34.3,6.73,99.6,8.11,7.85,69.22,9.61,5.77,59.4,3.2,8.89
OPB170330,OPB,03/30/17,09:00,26.2,34.3,6.92,103.2,8.14,5.91,71.06,7.38,3.19,69.76,3.03,8.29
OPP170330,OPP,03/30/17,09:20,26.5,34.4,6.79,101.9,8.13,3.96,63.57,9.18,5.45,65.9,1.9,6.91
RAB170418,RAB,04/18/17,07:30,26.1,33.5,6.53,96.9,8.16,0.96,128.53,13.35,9.08,619.74,35,3.88
RCB170418,RCB,04/18/17,07:30,26.1,33.1,6.6,97.7,8.16,1.02,168.36,13.71,10.41,850.37,79.71,4.93
RKS170418,RKS,04/18/17,07:30,24,24.4,7.26,98.6,8.22,2.59,146.46,11.19,7.94,1203.24,16.14,7.74
RNS170418,RNS,04/18/17,07:30,24.8,34,6.84,99.5,8.15,1,161.44,13.29,9.28,437.66,20.27,6.27
RPO170418,RPO,04/18/17,07:30,24.8,31.8,6.59,94.6,8.17,3.24,230.16,15.66,13.43,1122.88,146.51,3.88
RWA170418,RWA,04/18/17,07:30,25.9,33,6.57,96.8,8.18,0.92,131.32,18.46,15.75,1191.85,40.97,2.46
OLP170419,OLP,04/19/17,08:18,26.7,34.4,6.74,101.8,8.18,2.53,84.75,8.23,4.45,74.79,0.59,2.37
OSF170419,OSF,04/19/17,08:18,27,34.3,6.97,105.7,8.15,1.5,118.54,9.25,6.57,158.8,3.77,7.88
PFF170419,PFF,04/19/17,08:18,25.8,32.7,6.44,94.7,8.12,2.18,90.59,14.16,10.6,690.76,3.47,3.86
PLH170419,PLH,04/19/17,08:18,25.9,33.7,6.43,95.3,8.11,9.08,91.68,11.62,8.36,261.11,3.39,2.74
PLT170419,PLT,04/19/17,08:18,26.2,33,6.24,92.6,8.1,11.37,109.01,14.12,11.45,562.02,23.82,6.27
PPU170419,PPU,04/19/17,08:18,26.1,34.1,6.63,99,8.18,1.64,90.76,8.46,4.84,97.38,1.25,3.55
OCO170420,OCO,04/20/17,07:10,27.1,34.3,6.16,93.6,8.09,13.33,92.19,8.65,6.75,492.01,4.96,4.66
OMM170420,OMM,04/20/17,07:10,26.3,33.9,6.19,92.5,8.02,12.6,88.28,9.53,7.38,527.84,7.43,5.56
OPB170420,OPB,04/20/17,07:10,26,34.2,6.6,98.1,8.09,4.08,85.81,6.78,4.25,109.36,3.48,3.28
OPM170420,OPM,04/20/17,07:10,25.7,33.9,5.82,86.1,8.04,1.61,95.44,9.63,6.18,162.82,3.58,4.19
OPP170420,OPP,04/20/17,07:10,26.7,34.6,6.5,98.2,8.11,5.31,81.48,6.06,4.22,90.27,3.16,3.37
OUB170420,OUB,04/20/17,07:10,25.9,34.3,6.54,97.3,8.1,7,83.28,10.3,5.44,72.89,3.09,2.75
RAB170509,RAB,05/09/17,07:30,26.4,33.6,6.96,103.7,8.2,1.48,116.75,12.28,8.49,562.57,25.13,5.99
RCB170509,RCB,05/09/17,07:30,26.3,32.3,6.92,102.2,8.19,2.5,230.57,15.6,13.62,1488.58,156.2,5.01
RKS170509,RKS,05/09/17,07:30,25.6,34,6.88,101.6,8.14,2.59,117.85,10.05,7.06,300.1,9.84,7.68
RNS170509,RNS,05/09/17,07:30,25.3,33.2,7.2,102.6,8.12,0.75,137.54,17.93,13.54,1088.85,56.57,5.1
RPO170509,RPO,05/09/17,07:30,25.4,32.3,6.78,98.9,8.16,2.06,256.83,17.07,15.82,1412.92,171.36,4.94
RWA170509,RWA,05/09/17,07:30,26,33,6.86,101.5,8.21,0.78,113.94,14.22,12.1,983.76,35.72,4.87
OLP170510,OLP,05/10/17,08:17,26.8,34.6,6.94,105,8.18,2.19,68.73,8.82,4.45,103.51,1.64,2.57
OSF170510,OSF,05/10/17,08:17,26.8,34.4,7.23,109.7,8.18,1.74,73.02,8.63,5.93,94.43,4.35,2.83
PFF170510,PFF,05/10/17,08:17,25.5,34.2,6.46,95.6,8.14,2.24,64.53,8.41,6.17,296.93,3.01,1.92
PLH170510,PLH,05/10/17,08:17,25.8,33.9,6.24,92.7,8.14,2,67.52,8.33,6.28,203.96,7.82,2.56
PLT170510,PLT,05/10/17,08:17,25.9,34.7,6.33,94.4,8.14,1.57,69.5,17.55,5.04,61.3,4.65,4.9
PPU170510,PPU,05/10/17,08:17,26.1,34.3,6.91,103.2,8.23,1.67,69.5,9.38,4.86,222.52,1.68,2.05
OCO170511,OCO,05/11/17,07:00,25,34.3,6.46,94.8,8.11,1.85,64.66,9.25,4.86,286.27,5.27,1.86
OMM170511,OMM,05/11/17,07:00,25.1,33.9,6.47,94.7,8.1,2.22,60.93,8.69,5.35,355.94,3.89,2.6
OPB170511,OPB,05/11/17,07:00,25.2,34.3,7.21,106.3,8.2,5.97,71.81,9.22,4.74,155.91,1.82,1.56
OPM170511,OPM,05/11/17,07:00,24.7,34.2,6.07,88.2,8.06,2.44,76.91,14.57,5.25,220.95,4.15,3.16
OPP170511,OPP,05/11/17,07:00,25,34.4,6.98,102.7,8.2,3.51,67.97,9.75,5.05,79.39,1.63,2.58
OUB170511,OUB,05/11/17,07:00,25.3,34.6,6.88,101.5,8.16,5.36,67.65,11.57,4.98,102.26,6.23,2
RAB170530,RAB,05/30/17,07:40,26.5,34.3,6.83,102.3,8.16,1.25,86.47,10.51,6.24,427.43,24.06,2.82
RCB170530,RCB,05/30/17,07:40,26.4,33.9,6.87,102.9,8.16,5.07,144.84,13.37,8.19,657.55,63.53,5.3
RKS170530,RKS,05/30/17,07:40,26,34.5,6.83,101.8,8.09,2.8,72.95,8.76,5.7,146.13,7.64,3.39
RNS170530,RNS,05/30/17,07:40,25.7,33.9,6.92,102.2,8.09,1.07,102.75,11.34,8.89,692.06,36.12,4.31
RPO170530,RPO,05/30/17,07:40,26.1,33.1,6.82,100.9,8.13,4.2,221.5,14.04,12.27,1133.73,151.18,6.19
RWA170530,RWA,05/30/17,07:40,,,,,,,91.95,15.19,12.6,1009.81,34.86,2.93
RWA170531,RWA,05/31/17,07:40,26.4,33.8,6.78,101.4,8.16,3.1,,,,,,
OLP170531,OLP,05/31/17,08:15,26.9,34.8,6.8,103.2,8.12,2.59,98.09,8.48,4.65,69.65,6.98,7.24
OSF170531,OSF,05/31/17,08:15,27.1,34.7,7.27,110.5,8.1,2.31,66.91,6.41,4.23,70.33,8.73,3.19
PFF170531,PFF,05/31/17,08:15,26.4,34,6.21,92.8,8.07,3.94,70.51,12.12,11.89,1061.01,7.05,4.6
PLH170531,PLH,05/31/17,08:15,26.5,34.4,6.32,94.9,8.06,5.14,70.11,11.37,9.18,331.09,9.63,5.91
PLT170531,PLT,05/31/17,08:15,26.8,33.7,6.01,90.3,8.05,13.23,112.14,13.81,9.87,530.06,27.14,5.73
PPU170531,PPU,05/31/17,08:15,26.9,34.6,6.73,101.8,8.15,3.1,63.06,10.43,4.14,132.33,4.13,1.84
OCO170601,OCO,06/01/17,07:20,25.8,34.6,6.45,96.1,8.09,5.85,62.1,7.93,5.01,360.92,8.71,2.91
OMM170601,OMM,06/01/17,07:20,26,34.7,5.87,87.7,8.06,4.07,62.55,6.53,4.96,233.74,4.74,3.37
OPB170601,OPB,06/01/17,07:20,25.9,34.8,7.01,104.5,8.15,4.42,64.32,7.26,2.81,61.83,2.19,1.72
OPM170601,OPM,06/01/17,07:20,25,34.5,5.8,85.1,8,1.87,81.28,7.25,4.42,211.99,11.56,2.81
OPP170601,OPP,06/01/17,07:20,25.8,34.7,6.96,103.6,8.16,2.82,65.6,9.21,3.65,71.59,2.54,1.59
OUB170601,OUB,06/01/17,07:20,25.8,34.9,6.84,101.8,8.09,7.14,63.06,7.8,3.56,83.75,1.84,1.26
RNS170912,RNS,09/12/17,07:56,27.1,34.4,6.31,96.5,8.08,1.2,73.31,16.52,7.37,407.56,17.93,8.81
RPO170912,RPO,09/12/17,08:22,27.5,34.3,6.32,96.9,8.13,6.88,84.72,17.19,10.41,476.03,45.57,5.3
RKS170912,RKS,09/12/17,08:42,27.4,34.5,6.07,93,8.08,6.49,64.28,16.03,8.61,235.46,6.3,5.84
RAB170912,RAB,09/12/17,09:02,28.1,34.5,6.38,98.8,8.15,0.53,66.07,17.7,7.56,342.22,18.39,4.18
RCB170912,RCB,09/12/17,09:22,28,34.7,6.6,102.3,8.18,1.7,72.51,17.8,7.3,362.09,21.76,6.57
RWA170912,RWA,09/12/17,09:38,28,34.6,6.51,100.9,8.17,1.25,56.85,18.21,7.08,317.64,5.87,3.25
PFF170913,PFF,09/13/17,08:11,28,34.9,6.38,99,8.08,4.2,49.31,12.79,6.36,143.46,2.67,2.6
PLH170913,PLH,09/13/17,08:43,27.9,34.5,6.36,99.3,8.11,8.29,54.94,19.21,10.67,371.38,3.71,2.66
OLP170913,OLP,09/13/17,09:15,28,34.9,6.4,99.1,8.11,2.43,53.95,12.68,4.67,117.02,2.39,4.01
OSF170913,OSF,09/13/17,09:33,28.3,34.9,6.15,95.9,8.04,1.15,62.1,16.4,5.56,121.09,9.26,5.32
PLT170913,PLT,09/13/17,10:14,27.7,33.8,6.51,99.9,8.08,19.2,52.62,15.98,11.6,571.52,10.3,4.99
OPM170914,OPM,09/14/17,07:15,27.6,34.7,5.16,79.4,7.97,1.3,51.52,16.05,4.95,227.34,5.12,5.22
OCO170914,OCO,09/14/17,07:37,28.5,34.7,6.13,95.7,8.02,4.6,46.81,13.24,5.22,523.58,4.48,3.57
OMM170914,OMM,09/14/17,07:52,28.5,34.8,5.63,88,7.98,3.94,46.44,15.63,5.6,350.75,3.82,3.82
OUB170914,OUB,09/14/17,08:07,28.3,34.9,6.35,98.9,8.08,8.39,43.73,12.89,4.45,131.29,1.91,3.29
OPB170914,OPB,09/14/17,08:25,28.4,35,6.61,103.2,8.09,4.9,49.22,14.92,3.44,144.43,2.26,3.3
OPP170914,OPP,09/14/17,08:40,28.5,34.3,6.58,102.6,8.07,2.7,39.98,15.44,3.93,179.2,1.7,2.63
RHL170915,RHL,09/15/17,08:00,26.9,34.1,5.5,83.4,8.07,6.46,62.92,16.49,7.38,401.49,3.04,5.77
RFN170915,RFN,09/15/17,08:45,27.5,34.7,6.61,101.4,8.16,0.96,50.74,16.09,6.24,210.76,6.63,2.39
RON170915,RON,09/15/17,09:20,27.6,34.8,6.69,103,8.17,0.5,60.84,17.61,5.65,138.85,4.29,5.73
RFS170915,RFS,09/15/17,09:55,28.5,34.4,6.73,104.9,8.15,1.49,87.99,18.6,11.79,510.07,43.29,6.68
RKO170915,RKO,09/15/17,10:27,28.4,34.5,6.66,103.6,8.14,6.68,137.72,17.53,10.39,448.89,41.16,9.72
RKV170915,RKV,09/15/17,10:57,28.3,34.4,6.97,108.3,8.13,10.18,59.38,17.23,7.12,460.06,6.29,3.96
